s1,s2,s3,s4,label
431,243,470,3,1
396,247,474,3,1
430,237,416,2,1
464,255,314,3,1
431,221,363,2,1
502,261,246,2,1
503,259,251,1,1
506,261,222,3,1
489,258,323,3,1
498,246,350,2,1
487,266,327,2,1
486,264,352,3,1
399,277,418,5,1
503,265,413,4,1
476,251,461,3,1
408,203,372,3,1
425,208,361,1,1
472,270,382,2,1
592,204,290,2,1
627,252,197,2,1
0,278,341,6,1
0,278,378,4,1
351,470,397,4,1
650,345,181,3,1
587,332,198,4,1
578,340,178,4,1
594,357,232,5,1
597,368,242,3,1
502,262,217,4,1
512,191,315,4,1
526,245,315,4,1
529,236,319,4,1
537,253,314,3,1
541,309,309,3,1
371,194,334,6,1
616,274,467,1,1
618,282,469,2,1
622,277,474,0,1
557,249,451,2,1
560,252,465,1,1
539,241,456,3,1
539,247,465,2,1
542,248,468,2,1
544,246,473,1,1
544,247,472,2,1
585,277,457,1,1
589,285,464,2,1
595,320,461,2,1
561,238,478,2,1
563,241,483,2,1
441,193,309,6,1
401,172,309,4,1
439,196,340,2,1
457,198,351,2,1
459,196,352,2,1
442,181,290,2,1
510,355,116,2,1
496,323,123,2,1
516,341,134,4,1
522,356,157,3,1
526,343,176,2,1
526,341,173,2,1
470,178,113,3,1
0,625,127,1,1
0,213,154,0,1
0,263,243,0,1
0,250,333,0,1
0,251,337,0,1
0,250,347,0,1
0,250,340,0,1
1,251,349,0,1
353,230,45,0,1
316,0,120,0,1
319,0,107,0,1
589,413,309,5,1
583,413,331,2,1
591,447,303,5,1
603,456,292,3,1
620,461,294,1,1
66,525,302,5,1
0,568,264,2,1
0,568,275,3,1
492,324,249,3,1
482,328,283,1,1
554,0,300,3,1
657,0,255,3,1
664,0,296,6,1
667,0,310,1,1
595,385,0,27,2
621,422,0,31,2
616,415,0,27,2
570,393,0,25,2
595,414,0,26,2
610,416,0,27,2
616,414,0,28,2
627,416,0,29,2
629,415,0,30,2
612,356,0,25,2
562,387,0,22,2
590,395,0,23,2
610,428,0,23,2
603,417,0,22,2
578,422,0,25,2
761,660,0,27,2
627,465,0,29,2
704,577,0,24,2
705,558,0,25,2
724,524,0,24,2
701,575,0,27,2
636,547,1,27,2
698,622,0,26,2
716,594,1,25,2
729,633,2,26,2
733,632,0,24,2
770,586,3,23,2
778,575,0,24,2
778,573,0,24,2
452,197,0,20,2
400,265,1,18,2
449,210,0,22,2
482,249,0,22,2
464,212,0,23,2
466,209,0,24,2
475,209,0,23,2
443,198,0,23,2
382,168,0,19,2
382,221,0,19,2
585,391,0,19,2
586,388,0,20,2
585,384,0,20,2
595,395,0,17,2
611,380,0,21,2
612,376,0,20,2
591,365,0,25,2
589,360,0,24,2
513,270,0,17,2
465,278,0,18,2
483,270,0,17,2
471,261,0,17,2
475,251,1,18,2
744,319,0,20,2
748,311,0,19,2
768,357,0,19,2
765,426,0,17,2
827,565,0,22,2
814,349,0,26,2
799,410,0,26,2
802,401,0,26,2
819,433,0,27,2
820,383,0,28,2
816,386,0,27,2
821,387,0,26,2
820,374,0,26,2
816,393,0,26,2
828,444,0,26,2
736,551,0,33,2
739,529,0,32,2
735,532,0,34,2
737,529,0,37,2
739,522,1,35,2
775,490,2,31,2
756,531,0,30,2
728,545,0,33,2
738,540,0,33,2
730,539,0,33,2
733,543,0,32,2
734,543,0,34,2
733,544,0,32,2
731,546,1,32,2
733,548,0,33,2
735,548,0,33,2
657,435,4,24,2
660,440,3,26,2
659,441,4,25,2
656,447,4,25,2
630,499,5,79,2
667,507,1,28,2
622,524,2,28,2
634,533,18,28,2
632,588,28,27,2
632,474,10,24,2
700,507,20,23,2
677,543,10,26,2
609,557,0,24,2
606,571,0,24,2
612,574,0,22,2
646,556,0,26,2
649,583,0,24,2
508,225,404,15,3
511,222,404,15,3
531,297,409,9,3
422,119,415,17,3
469,77,334,9,3
534,157,407,18,3
539,170,410,17,3
546,66,395,11,3
412,42,296,11,3
549,106,260,12,3
575,121,247,11,3
539,91,372,8,3
601,130,255,14,3
584,107,351,10,3
600,183,289,20,3
649,308,251,18,3
625,350,238,17,3
547,282,352,21,3
503,340,389,22,3
447,392,326,24,3
648,548,0,2,4
638,548,0,0,4
625,567,0,0,4
613,554,0,0,4
616,544,0,0,4
670,559,0,0,4
672,561,0,1,4
675,566,0,1,4
678,572,0,1,4
673,582,0,1,4
669,581,0,2,4
589,624,0,0,4
670,611,0,0,4
679,616,0,0,4
684,616,0,0,4
680,615,0,0,4
684,618,0,0,4
693,633,0,0,4
677,628,0,0,4
683,629,0,0,4
686,625,0,2,4
623,562,0,0,4
571,488,0,0,4
611,482,0,0,4
607,492,0,0,4
617,491,0,1,4
619,496,0,1,4
617,505,0,1,4
624,485,0,0,4
686,548,0,1,4
686,560,0,0,4
689,561,0,0,4
689,561,1,0,4
690,562,0,0,4
676,575,0,0,4
683,590,0,0,4
685,595,0,0,4
688,569,0,0,4
688,583,0,0,4
688,583,0,0,4
689,583,0,0,4
690,584,0,0,4
689,599,0,0,4
692,600,0,0,4
693,599,0,0,4
694,602,0,0,4
571,322,0,0,4
581,353,0,0,4
555,356,0,0,4
576,356,0,0,4
578,362,0,0,4
585,355,0,0,4
521,328,0,0,4
545,342,0,0,4
694,535,0,0,4
701,533,0,0,4
703,529,0,0,4
700,534,0,0,4
705,540,0,0,4
727,610,0,0,4
750,589,0,0,4
750,576,0,0,4
756,577,0,0,4
727,585,1,0,4
731,601,1,0,4
668,608,0,0,4
667,615,0,2,4
667,618,0,2,4
671,618,0,2,4
671,619,0,2,4
675,625,0,2,4
683,627,0,3,4
683,627,0,2,4
681,627,0,2,4
681,623,0,2,4
682,623,0,2,4
682,623,0,2,4
658,621,0,0,4
663,622,0,1,4
671,619,0,3,4
678,628,0,0,4
551,493,9,3,4
563,508,10,1,4
563,514,11,0,4
573,517,8,0,4
485,521,11,3,4
522,502,13,0,4
438,480,7,1,4
459,430,7,3,4
362,340,9,3,4
489,492,11,0,4
502,493,2,3,4
515,500,10,0,4
515,488,12,0,4
496,501,5,2,4
536,522,9,0,4
529,528,7,6,4
532,567,9,1,4
539,577,9,0,4
585,591,11,1,4
